rseed,MAE,ln_MAE,log10_MAE
407,0.0266163528779792,-1.5748514542513747,-1.5748514542513756
408,0.1029659704473431,-0.9873062829533296,-0.9873062829533299
409,0.0579654768443977,-1.2368305871255032,-1.2368305871255036
410,0.0397346287635594,-1.4008308401956164,-1.4008308401956164
411,0.3258116326709729,-0.4870334138438854,-0.48703341384388543
412,0.0551052301549706,-1.2588071793760405,-1.2588071793760407
413,0.0634270485404017,-1.1977254972173836,-1.197725497217384
414,0.011920876939828,-1.9236917952568864,-1.9236917952568888
415,0.0883655998169874,-1.0537167702501558,-1.0537167702501558
416,0.0798609517027358,-1.097665518624729,-1.097665518624729
417,0.0442137250756006,-1.354442893562213,-1.3544428935622133
418,0.0740830730471388,-1.1302810109409416,-1.130281010940942
419,0.0742465695770114,-1.129323607306252,-1.1293236073062523
428,0.0610821183469815,-1.2140859098858856,-1.214085909885886
429,0.0088548290479802,-2.0528198189160864,-2.0528198189160904
430,0.0416001761440953,-1.3809048304730964,-1.3809048304730973
431,0.0701748565573214,-1.1538184664231628,-1.1538184664231628
432,0.1462207014743873,-0.8349911369565611,-0.8349911369565614
433,0.0141893818895756,-1.8480365226393052,-1.8480365226393056
434,0.0681484864007095,-1.166543785539059,-1.1665437855390592
435,0.0280348819937515,-1.5523012676222152,-1.5523012676222163
436,0.0810063907887913,-1.0914807172346603,-1.0914807172346603
437,0.085773153814981,-1.0666486209441306,-1.0666486209441308
438,0.0779573897036914,-1.1081427110662412,-1.1081427110662414
439,0.0957397490740485,-1.01890771510244,-1.01890771510244
440,0.0158003193307466,-1.8013341356924284,-1.8013341356924308
441,0.0182939546726894,-1.7376924013100783,-1.7376924013100803
442,0.0886957845614099,-1.0520970203624398,-1.05209702036244
443,0.0921865882840772,-1.0353322574484796,-1.0353322574484798
444,0.0872245333119322,-1.059361345532415,-1.0593613455324147
445,0.0875111049173258,-1.057936832711362,-1.0579368327113625
446,0.0816196488668454,-1.088205277922457,-1.0882052779224571
447,0.0155383683566438,-1.808594587266736,-1.8085945872667366
448,0.0857349940562183,-1.0668418779192723,-1.0668418779192725
449,0.0790607546500665,-1.1020390445491388,-1.1020390445491388
450,0.0581128105364612,-1.2357281200704406,-1.2357281200704406
451,0.0694120787388321,-1.158564949239972,-1.1585649492399723
452,0.1022720755539652,-0.99024293020098,-0.99024293020098
453,0.0503774234446206,-1.29776404827892,-1.2977640482789208
454,0.0221666748823211,-1.654299448453577,-1.6542994484535778
455,0.0836712631391939,-1.0774236746590704,-1.0774236746590709
456,0.0837398745300503,-1.0770676941606658,-1.0770676941606663
457,0.0520201445028306,-1.2838284457446287,-1.2838284457446292
458,0.1484218186678309,-0.8285022511424344,-0.8285022511424345
459,0.0125217128068712,-1.90233626124579,-1.9023362612457917
460,0.0848412815589287,-1.0713927799271952,-1.0713927799271952
461,0.0722791348528939,-1.1409870543798224,-1.1409870543798226
462,0.0639911831794602,-1.1938798597705838,-1.193879859770584
463,0.061877916944359,-1.2084643147980971,-1.2084643147980971
464,0.0239939691534942,-1.6198979038089103,-1.6198979038089107
465,0.0229628897690824,-1.6389734589659355,-1.6389734589659362
466,0.0248380553303952,-1.6048824097973708,-1.6048824097973724
467,0.0170972079726662,-1.7670748054596912,-1.7670748054596932
468,0.0793963128738295,-1.1001996655292146,-1.100199665529215
469,0.0780135921458476,-1.1078297244931632,-1.1078297244931632
470,0.02147399614938,-1.6680871291020694,-1.66808712910207
471,0.0352117045216622,-1.4533129511742175,-1.453312951174218
472,0.0751492409767575,-1.1240754015211258,-1.1240754015211258
473,0.1020423229513491,-0.9912196634151522,-0.9912196634151524
474,0.1010321691732876,-0.9955403225539216,-0.9955403225539218
475,0.0238513339081256,-1.6224873276201426,-1.6224873276201432
476,0.0733727317480656,-1.1344653113596626,-1.1344653113596626
477,0.075885362518197,-1.1198419868269618,-1.119841986826962
478,0.0251990097272779,-1.5986165258227865,-1.598616525822787
479,0.0281533866968856,-1.550469354443194,-1.550469354443194
480,0.0125865536723237,-1.900093167905064,-1.9000931679050643
481,0.0358499520711721,-1.445511420616526,-1.445511420616527
482,0.0775154125714477,-1.110611937116451,-1.1106119371164511
483,0.0904491580578502,-1.0435954713971087,-1.043595471397109
484,0.0329201530774818,-1.4825381540019578,-1.4825381540019584
485,0.0529123024311679,-1.2764433401236737,-1.2764433401236743
486,0.0799786204989592,-1.0970260910109069,-1.0970260910109069
487,0.0723830443415407,-1.1403631549536,-1.1403631549536006
488,0.019353233251526,-1.7132464690949527,-1.713246469094954
489,0.0764176720552348,-1.116806196547702,-1.1168061965477019
490,0.0187492285793255,-1.727016596236751,-1.7270165962367527
491,0.0348455645690744,-1.457852494632464,-1.457852494632464
492,0.0856809972872586,-1.06711548715948,-1.06711548715948
493,0.0202634094116934,-1.6932874807866138,-1.693287480786614
494,0.0761353109002715,-1.1184138744726282,-1.1184138744726286
495,0.0624627603593793,-1.204378827304712,-1.2043788273047127
496,0.0815832650658311,-1.0883989176546431,-1.0883989176546434
497,0.0701072526838858,-1.154237051396258,-1.1542370513962579
498,0.0751587228102651,-1.1240206085763955,-1.1240206085763957
499,0.0738458758900255,-1.1316737539501007,-1.1316737539501007
500,0.0340907415375619,-1.4673635519489114,-1.4673635519489123
501,0.0819521252704467,-1.086439779356942,-1.0864397793569425
502,0.0434771720023907,-1.3617387126009142,-1.3617387126009144
503,0.0667322698225001,-1.1756641028635766,-1.1756641028635768
504,0.0658391661672823,-1.181515677966522,-1.1815156779665223
505,0.0167042301038182,-1.7771735361508771,-1.7771735361508796
506,0.0222877045075336,-1.651934658798715,-1.651934658798715
